name,price,tracking_method,connection_type,max_dpi,hand_orientation,color,purpose,performance_score
Razer DeathAdder V2 - Special Edition,79.99,Optical,Wired,20000.0,Right,Black / Green,Mid-Range Gaming,57.33
HP OMEN Vector Essential,24.99,Optical,Wired,7200.0,Right,Black,Mid-Range Gaming,36.0
IOGEAR Tacturus,5.99,Optical,Wireless,1000.0,Both,Black,Office/Budget,41.67
Kensington K72356US,7.99,Optical,Wired,3200.0,Both,Black,Office/Budget,29.33
ROCCAT Kova RGB,55.67,Optical,Wired,7000.0,Both,Black,Mid-Range Gaming,35.67
SteelSeries Rival 110,89.99,Optical,Wired,7200.0,Right,Black,Mid-Range Gaming,36.0
Perixx MX-2000,19.98,Laser,Wired,5040.0,Right,Black / Silver,Mid-Range Gaming,32.4
Logitech M535,22.95,Optical,Bluetooth Wireless,3200.0,Both,Blue,Office/Budget,45.33
Asus P702 ROG GLADIUS II WIRELESS,127.41,Optical,Wireless,16000.0,Right,Black / Red,Mid-Range Gaming,66.67
Xtrfy M4 RGB,57.97,Optical,Wired,16000.0,Right,White,Mid-Range Gaming,50.67
ROCCAT Kain 202 Aimo RGB,94.15,Optical,Wireless,16000.0,Right,White,Mid-Range Gaming,66.67
Cooler Master MM711 Blue Steel,24.99,Optical,Wired,16000.0,Right,Blue,Mid-Range Gaming,50.67
Razer TRON,195.0,Laser,Wired,5600.0,None,Black,Mid-Range Gaming,33.33
Genius Traveler 6000z,68.49,Optical,Wireless,3200.0,Both,Black,Portable,45.33
Microsoft U7Z-00001,9.94,Laser,Wireless,3200.0,Both,Black,Office/Budget,45.33
Asus ROG Spatha,149.94,Laser,Wireless,8200.0,Right,Black,Portable,53.67
Verbatim 99768 Commuter,8.81,Optical,Wireless,3200.0,Both,White,Office/Budget,45.33
SteelSeries Rival 5 Destiny Edition,139.94,Optical,Wired,18000.0,Right,White / Silver,Mid-Range Gaming,54.0
Gigabyte AORUS M2,29.94,Optical,Wired,6200.0,Both,Black,Mid-Range Gaming,34.33
Logitech G302 Daedalus Prime Moba,64.5,Optical,Wired,4000.0,Right,Black / Blue,Mid-Range Gaming,30.67
Logitech M500,84.9,Laser,Wired,1000.0,Right,Black / Silver,Mid-Range Gaming,25.67
Alienware AW558,68.59,Optical,Wired,5000.0,Right,Black / Silver,Mid-Range Gaming,32.33
BenQ Zowie EC2-B,58.2,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Endgame Gear XM2w,131.33,Optical,"Wired, Wired, Wireless",26000.0,Right,Black,Premium Gaming,83.33
Xtrfy M42 RGB,110.24,Optical,"Wired, Wireless",16000.0,Right,Black,Mid-Range Gaming,66.67
Razer Pro Click Mini,77.7,Optical,"Wireless, Bluetooth Wireless",12000.0,Right,White / Gray,Portable,60.0
DLAND Zelotes T90,49.15,Optical,Wired,9200.0,Right,Black,Mid-Range Gaming,39.33
Anker AK-98ANWVM-BA,22.99,Optical,Wired,1000.0,Right,Black,Office/Budget,25.67
HP OMEN Photon,40.0,Laser,Wireless,8200.0,Right,Black / Red,Portable,53.67
Kensington K64325,99.99,Trackball,Wired,3200.0,None,Black,Mid-Range Gaming,29.33
A4Tech D-312,12.99,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Cooler Master MM830,37.22,Optical,Wired,24000.0,Right,Black,Mid-Range Gaming,64.0
SteelSeries Rival 300 CS:GO Hyper Beast Edition,151.17,Optical,Wired,6500.0,Right,Orange / Black,Mid-Range Gaming,34.83
Zowie ZA13-B,58.2,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Rude Gamewear Fierce,29.99,Laser,Wired,5000.0,Both,Black,Mid-Range Gaming,32.33
SteelSeries Sensei,111.97,Laser,Wired,11400.0,Both,Gray,Mid-Range Gaming,43.0
SteelSeries Sensei RAW,65.33,Laser,Wired,5700.0,Both,Black,Mid-Range Gaming,33.5
RIOTORO URUZ Z5 Classic RGB,54.05,Optical,Wired,4000.0,Right,Black,Mid-Range Gaming,30.67
Logitech G703,56.86,Optical,Wireless,12000.0,Right,Black,Portable,60.0
Corsair M55 RGB PRO,114.33,Optical,Wired,12400.0,Both,White / Gray,Mid-Range Gaming,44.67
Adesso IMOUSE X1,18.94,Optical,Wired,3200.0,Right,Silver / Black,Office/Budget,29.33
Lenovo Legion M500 RGB,41.99,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
HAVIT HV-MS735,65.95,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Glorious MODEL D GLOSSY,34.25,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Microsoft Intellimouse Pro - White Shadow,71.37,Optical,Wired,16000.0,Right,White / Black,Mid-Range Gaming,50.67
ROCCAT KONE Pure Ultra,47.93,Optical,Wired,16000.0,Right,White,Mid-Range Gaming,50.67
Razer Basilisk Essential,71.0,Optical,Wired,6400.0,Right,Black,Mid-Range Gaming,34.67
Trust GXT 101D GAV,36.46,Optical,Wired,4800.0,Right,Green / Black,Mid-Range Gaming,32.0
Microsoft Comfort Mouse 4500 for Business,14.49,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Logitech MX Anywhere 2,124.99,Laser,Wireless,1600.0,Right,Black / Gold,Portable,42.67
Asus ROG Sica,49.42,Optical,Wired,5000.0,Both,White,Mid-Range Gaming,32.33
Razer Lancehead,136.12,Laser,Wireless,16000.0,Both,Black / Green,Mid-Range Gaming,66.67
Fellowes Penguin Small,230.0,Laser,Wireless,1200.0,Both,Black / Silver,Portable,42.0
ROCCAT Kain 120 Aimo RGB,52.1,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Lenovo 06P4069,29.99,Optical,Wired,400.0,Both,Black,Office/Budget,24.67
Zowie FK2,13.45,Optical,Wired,3200.0,Both,Black / Yellow,Office/Budget,29.33
Corsair Sabre RGB,43.17,Optical,Wired,10000.0,Right,Black,Mid-Range Gaming,40.67
Logitech G703 (White),48.24,Optical,Wireless,12000.0,Right,White,Portable,60.0
G-Wolves HT-M 3360 Black,65.95,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Endgame Gear XM1 RGB,69.98,Optical,Wired,16000.0,Right,White / Black,Mid-Range Gaming,50.67
Microsoft Intellimouse Pro - Dark Shadow,28.41,Optical,Wired,16000.0,Right,Black / Gray,Mid-Range Gaming,50.67
Razer Naga Left-Handed Edition,66.05,Optical,Wired,20000.0,Left,Black,Mid-Range Gaming,57.33
Logitech M310,14.99,Laser,Wireless,3200.0,Both,Silver,Office/Budget,45.33
SteelSeries Rival 500,52.1,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Perixx PERIMICE-517,29.99,Trackball,Wired,1000.0,Left,Black,Office/Budget,25.67
Logitech G400s,76.79,Optical,Wired,4000.0,Right,Black,Mid-Range Gaming,30.67
MSI Interceptor DS B1,22.46,Optical,Wired,1600.0,Right,Black / Red,Office/Budget,26.67
Asus ROG Strix Evolve,69.99,Optical,Wired,7200.0,Both,Black,Mid-Range Gaming,36.0
Targus W575,17.98,Optical,Wireless,1600.0,Both,Black,Office/Budget,42.67
Microsoft RJN-00001,19.99,Optical,Bluetooth Wireless,3200.0,Both,Black,Office/Budget,45.33
MSI CLUTCH GM31,67.98,Optical,"Wired, Wireless",12000.0,Right,Black,Portable,60.0
Logitech G400,89.99,Optical,Wired,3600.0,Right,Black,Mid-Range Gaming,30.0
Kensington SlimBlade,80.0,Trackball,Wired,3200.0,None,Black,Mid-Range Gaming,29.33
SteelSeries Rival 300,44.65,Optical,Wired,6500.0,Right,Orange / White,Mid-Range Gaming,34.83
ROCCAT Kone AIMO,139.99,Optical,Wired,12000.0,Right,Gray,Mid-Range Gaming,44.0
Asus TUF Gaming M5,33.41,Optical,Wired,6200.0,Right,Silver,Mid-Range Gaming,34.33
Adesso iMouse S8B,14.59,Optical,Wired,1600.0,Both,Black,Office/Budget,26.67
Asus ROG GLADIUS II CORE,49.99,Optical,Wired,6200.0,Right,Black,Mid-Range Gaming,34.33
Logitech G500,190.0,Laser,Wired,5700.0,Right,Black / Silver,Mid-Range Gaming,33.5
A4Tech XL-750BK,63.85,Laser,Wired,3600.0,Both,Black,Mid-Range Gaming,30.0
Microsoft L2 Notebook Mouse 5000,69.98,Laser,Bluetooth Wireless,3200.0,Both,Black / Gray,Portable,45.33
HP QY775AA,9.99,Optical,Wired,800.0,Both,Black,Office/Budget,25.33
SteelSeries Sims 4,27.6,Laser,Wired,1600.0,Right,White / Gray,Office/Budget,26.67
Razer Abyssus 2014 Essential,59.23,Laser,Wired,3200.0,Both,Black,Mid-Range Gaming,29.33
Adesso IMOUSEG1,9.99,Optical,Wired,2400.0,Both,Black / Blue,Office/Budget,28.0
Corsair Scimitar RGB,65.95,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Zowie EC1-A,58.2,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Zowie ZA11,28.56,Optical,Wired,3200.0,Both,Black,Office/Budget,29.33
Razer Naga Hex V2,125.11,Laser,Wired,16000.0,Right,Black / Green,Mid-Range Gaming,50.67
Asus ROG Pugio,137.05,Optical,Wired,7200.0,Both,Black,Mid-Range Gaming,36.0
Corsair DARK CORE RGB SE,99.74,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
MSI Clutch GM60,43.38,Optical,Wired,10800.0,Right,Black,Mid-Range Gaming,42.0
Redragon M990,75.0,Laser,Wired,24000.0,Right,Black,Mid-Range Gaming,64.0
GameMax Strike,42.5,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Patriot Viper 551,29.99,Optical,Wired,10000.0,Both,Black,Mid-Range Gaming,40.67
Adesso iMouse S60R,14.29,Optical,Wireless,1600.0,Right,Red / Black,Office/Budget,42.67
Dell Alienware Elite,53.01,Optical,Wired,12000.0,Right,Silver / Black,Mid-Range Gaming,44.0
Cooler Master MM711 Wilderness Limited Edition,27.95,Optical,Wired,16000.0,Right,Green,Mid-Range Gaming,50.67
Ducky Feather RGB,44.66,Optical,Wired,16000.0,Both,Black,Mid-Range Gaming,50.67
Logitech Wireless Mouse M525,24.99,Optical,Wireless,3200.0,Both,Black / Gray,Office/Budget,45.33
A4Tech AL90,59.99,Laser,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
AOC AGM700,19.14,Optical,Wired,16000.0,Right,Black / Silver,Mid-Range Gaming,50.67
Adesso iMouse E9,26.07,Optical,Wireless,2400.0,Left,Black,Office/Budget,44.0
ROCCAT Kain 200 Aimo RGB,82.27,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
Thermaltake Level 20 RGB,65.98,Optical,Wired,16000.0,Both,Black,Mid-Range Gaming,50.67
Logitech M191 Full-Size,13.51,Optical,Wireless,1000.0,Both,Black / Gray,Office/Budget,41.67
Tempest MS100 Paladin,50.12,Optical,Wired,16000.0,Both,Black / Red,Mid-Range Gaming,50.67
A4Tech D-120,50.64,Optical,Wired,1000.0,Both,Black / Silver,Mid-Range Gaming,25.67
Microsoft Sculpt Ergonomic,37.32,Laser,Wireless,3200.0,Right,Black / Blue,Portable,45.33
Trust GXT 138 X-Ray,57.23,Optical,Wired,4000.0,Right,Black,Mid-Range Gaming,30.67
Adesso iMouse M6-TAA,8.98,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Logitech G9x,70.53,Laser,Wired,5700.0,Right,Black,Mid-Range Gaming,33.5
Razer ABYSSUS,28.9,Optical,Wired,3500.0,Both,Black,Office/Budget,29.83
Microsoft Wireless Mobile Mouse 6000,307.16,Optical,Wireless,3200.0,Both,White,Portable,45.33
Adesso HC-3003PS,6.99,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Verbatim 97253,12.0,Optical,Wired,3200.0,None,Purple,Office/Budget,29.33
A4Tech F3,59.23,Laser,Wired,3200.0,Both,Black,Mid-Range Gaming,29.33
Corsair Vengeance M95,69.7,Laser,Wired,8200.0,Right,White,Mid-Range Gaming,37.67
Mad Catz R.A.T. 3,34.3,Optical,Wired,3500.0,Right,Black,Mid-Range Gaming,29.83
Mad Catz R.A.T. 9,131.82,Laser,Wireless,6400.0,Right,White,Portable,50.67
Ergoguys Comfi Ergonomic Mouse,44.98,Optical,Wired,1000.0,Right,Black,Mid-Range Gaming,25.67
Razer Ouroboros,184.42,Laser,Wireless,8200.0,Both,Black,Portable,53.67
Perixx PERIMICE-201P B,8.99,Optical,Wired,800.0,Both,Black / Silver,Office/Budget,25.33
HP X500,28.56,Optical,Wired,3200.0,Both,Black,Office/Budget,29.33
Corsair Raptor M45,59.92,Optical,Wired,5000.0,Right,Black / Red,Mid-Range Gaming,32.33
Gigabyte Aivia Uranium,93.12,Laser,Wireless,3200.0,Right,Black / Silver,Portable,45.33
ROCCAT NYTH,93.09,Laser,Wired,12000.0,Right,Black / Blue,Mid-Range Gaming,44.0
Dell WM326,43.99,Laser,Wireless,1600.0,Both,Black,Portable,42.67
SHARKOON SHARK Force,26.91,Optical,Wired,1600.0,Right,Black,Office/Budget,26.67
SteelSeries Rival 700,52.1,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Alienware AW958,56.65,Optical,Wired,12000.0,Right,Black / Silver,Mid-Range Gaming,44.0
Corsair DARK CORE RGB,99.74,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
Gigabyte AORUS M3,33.01,Optical,Wired,6400.0,Right,Black,Mid-Range Gaming,34.67
Zelotes T90,43.09,Optical,Wired,9200.0,Right,Black / Red,Mid-Range Gaming,39.33
SHARKOON Drakonia Black,90.33,Laser,Wired,8200.0,Right,Black,Mid-Range Gaming,37.67
Zowie EC2-B,50.01,Optical,Wired,3200.0,Right,Black / Red,Mid-Range Gaming,29.33
Zowie S1,58.2,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Zowie S2,58.2,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Logitech M185R,14.99,Optical,Wireless,1000.0,Both,Red / Black,Office/Budget,41.67
Trust GXT 130,33.52,Laser,Wireless,2400.0,Right,Black / Red,Portable,44.0
Verbatim 99790,8.94,Optical,Wired,3200.0,Both,Black,Office/Budget,29.33
Redragon MIRAGE,45.08,Optical,Wireless,4800.0,Right,Red / Black,Portable,48.0
HP OMEN 600,79.98,Optical,Wired,12000.0,Right,Black / Red,Mid-Range Gaming,44.0
Zelotes C-18,43.17,Optical,Wired,10000.0,Right,Black,Mid-Range Gaming,40.67
‎DREAM MACHINES DM1 FPS,52.1,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
UtechSmart Venus Pro RGB,99.74,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
Logitech Off-white Signature M550,91.5,Optical,Bluetooth Wireless,4000.0,Both,White,Portable,46.67
ninjutso Origin One X,66.97,Optical,"Wired, Wireless",3200.0,Right,Black / White,Portable,45.33
Kensington K72352US,44.78,Trackball,Wireless,3200.0,Both,Black,Portable,45.33
Verbatim 98590,17.44,Optical,Bluetooth Wireless,1600.0,Both,Black,Office/Budget,42.67
ROCCAT Burst Core,32.9,Optical,Wired,8500.0,Right,Black,Mid-Range Gaming,38.17
3M EM550GPS,91.13,Optical,Wireless,3200.0,Right,Black,Portable,45.33
Adesso IMOUSE M300W,21.92,Optical,Wired,1000.0,Both,White,Office/Budget,25.67
Trust GXT 158,47.44,Laser,Wired,5000.0,Both,Black,Mid-Range Gaming,32.33
Adesso iMouse G2,16.98,Optical,Wired,2400.0,Right,Black,Office/Budget,28.0
Microsoft RJG-00001,28.95,Optical,Wired,3200.0,Right,Black,Office/Budget,29.33
Microsoft RJN-00013,19.99,Optical,Bluetooth Wireless,3200.0,Both,Blue,Office/Budget,45.33
Kensington K72358US,14.88,Optical,Wired,3200.0,Both,Black,Office/Budget,29.33
Evoluent VM4L,89.95,Laser,Wired,3200.0,Left,Silver / Black,Mid-Range Gaming,29.33
Microsoft P58-00061,13.01,Optical,Wired,800.0,Both,Black,Office/Budget,25.33
Razer Naga 2014 Left-Handed Edition,127.78,Laser,Wired,8200.0,Left,Black,Mid-Range Gaming,37.67
Logitech T630,46.67,Touchpad,Wireless,3200.0,Both,Black / Silver,Portable,45.33
Logitech Zone Touch Mouse T400,199.99,Optical,Wireless,3200.0,Both,Purple,Portable,45.33
Cherry M-4230,127.43,Optical,Wired,800.0,Both,Black / Silver,Mid-Range Gaming,25.33
Thermaltake VOLOS,90.33,Laser,Wired,8200.0,Right,Black,Mid-Range Gaming,37.67
Kensington K72370US,43.64,Optical,Wireless,3200.0,Right,Black,Portable,45.33
Logitech M325c Red Zigzag,19.98,Optical,Wireless,3200.0,Both,Red,Office/Budget,45.33
Logitech M325c Teal Zigzag,49.99,Optical,Wireless,3200.0,Both,Blue / White,Portable,45.33
A4Tech ZL50,69.9,Laser,Wired,3200.0,Right,Black / Red,Mid-Range Gaming,29.33
Cougar 550M,39.68,Optical,Wired,6400.0,Right,Black / Orange,Mid-Range Gaming,34.67
Microsoft 4FD-00026,42.91,Laser,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Asus ROG Strix Impact,91.14,Optical,Wired,5000.0,Both,Black,Mid-Range Gaming,32.33
Trust GXT 25,22.46,Optical,Wired,1600.0,Right,Black / Red,Office/Budget,26.67
Cougar MINOS XT,54.05,Optical,Wired,4000.0,Right,Black,Mid-Range Gaming,30.67
Adesso iMouse E90,37.44,Optical,Wireless,1600.0,Left,Black,Portable,42.67
Rosewill NEON M63,29.99,Optical,Wired,10000.0,Right,Black / Red,Mid-Range Gaming,40.67
Evoluent VMDM,99.95,Optical,Wired,3200.0,Right,Black / Silver,Mid-Range Gaming,29.33
Logitech PEBBLE M350 Blue,35.5,Optical,Wireless,1000.0,Both,Blue,Portable,41.67
Razer Naga Epic,143.19,Laser,Wireless,5600.0,None,Black,Portable,49.33
Razer Naga,78.62,Laser,Wired,5600.0,Right,Black,Mid-Range Gaming,33.33
NZXT Avatar S,24.18,Laser,Wired,1600.0,Both,White,Office/Budget,26.67
Microsoft Comfort Mouse 3000 for Business,12.19,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Microsoft 3KJ-00001,109.43,Optical,Wireless,3200.0,Both,Black,Portable,45.33
Kensington K72369US,21.5,Optical,Wired,3200.0,None,Black,Office/Budget,29.33
Logitech G9x Call Of Duty Edition,70.53,Laser,Wired,5700.0,Right,Black,Mid-Range Gaming,33.5
Linkworld LM5035-PS2-c228,51.03,Optical,Wired,800.0,Both,Black / Silver,Mid-Range Gaming,25.33
Cherry JM-0300,17.35,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Adesso GP-410UB,71.97,Touchpad,Wired,3200.0,Both,Black,Mid-Range Gaming,29.33
Kensington 64327,29.99,Trackball,Wired,3200.0,Both,Silver / Black,Office/Budget,29.33
Razer Naga Star Wars Edition,51.67,Optical,Wireless,3200.0,Right,Silver / Black,Portable,45.33
Cooler Master CM Storm Xornet,22.03,Optical,Wired,2000.0,Right,Black,Office/Budget,27.33
Microsoft SideWinder X5,34.92,Laser,Wired,2000.0,Right,Black,Mid-Range Gaming,27.33
Razer Naga 2012,135.34,Laser,Wired,5600.0,None,Black,Mid-Range Gaming,33.33
Zalman ZM-M400,19.95,Optical,Wired,1600.0,Right,Black / Gray,Office/Budget,26.67
SteelSeries Sensei - Fnatic,145.57,Laser,Wired,11400.0,Both,Black / White,Mid-Range Gaming,43.0
A4Tech D-770FX,26.91,Optical,Wired,1600.0,Right,Black,Office/Budget,26.67
A4Tech G10-810H,35.86,Optical,Wireless,2000.0,Right,Black,Portable,43.33
Corsair Raptor M3,30.0,Optical,Wired,1600.0,Right,Black,Office/Budget,26.67
Mad Catz R.A.T. 5,72.4,Laser,Wired,5600.0,Right,Red,Mid-Range Gaming,33.33
Mad Catz R.A.T. 7,79.08,Laser,Wired,6400.0,Right,Black,Mid-Range Gaming,34.67
Asus GX1000 Eagle Eye,130.03,Laser,Wired,8200.0,Right,Black / Silver,Mid-Range Gaming,37.67
Kensington Pro Fit Mid-Size Mouse,55.34,Optical,Wireless,3200.0,Right,Green / Black,Portable,45.33
ROCCAT Kone Pure,90.33,Laser,Wired,8200.0,Right,Black,Mid-Range Gaming,37.67
HP QY777AA,10.99,Optical,Wired,800.0,Both,Black,Office/Budget,25.33
Razer Naga Molten,75.94,Laser,Wired,5600.0,Right,Black / Red,Mid-Range Gaming,33.33
HP H2L63AA,19.75,Optical,Wireless,3200.0,Both,Black,Office/Budget,45.33
Corsair Sabre,64.85,Laser,Wired,8200.0,Right,Multicolor,Mid-Range Gaming,37.67
Asus ROG Gladius,55.93,Optical,Wired,6400.0,Right,Black / Red,Mid-Range Gaming,34.67
Microsoft U7Z-00062,15.99,Optical,Wireless,1000.0,Both,Pink,Office/Budget,41.67
G.Skill RIPJAWS MX780,100.58,Laser,Wired,8200.0,Both,Black,Mid-Range Gaming,37.67
Razer Mamba,204.24,Laser,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
Genius NX-7000,36.47,Laser,Wireless,1200.0,Both,Black,Portable,42.0
DLAND ZELOTES,48.26,Optical,Wired,7200.0,Right,Black,Mid-Range Gaming,36.0
MSI INTERCEPTOR DS200,40.5,Laser,Wired,16400.0,Right,Black / Red,Mid-Range Gaming,51.33
Aorus THUNDER M7,90.33,Laser,Wired,8200.0,Right,Black,Mid-Range Gaming,37.67
Thermaltake THERON Plus,90.33,Laser,Wired,8200.0,Right,Black,Mid-Range Gaming,37.67
Redragon M902,40.5,Laser,Wired,16400.0,Right,Black / Red,Mid-Range Gaming,51.33
Logitech MX MASTER 2S (White),97.99,Laser,Wireless,4000.0,Right,White,Portable,46.67
ROCCAT Kone EMP,65.95,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Cooler Master MasterMouse MM530,49.99,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Anker AK-A7809012,24.81,Optical,Wireless,1600.0,Right,Black,Office/Budget,42.67
Tracer GAMEZONE SNIPER AVAGO,66.12,Laser,Wired,6000.0,Right,Black,Mid-Range Gaming,34.0
Razer Mamba Hyperflux & Firefly Hyperflux Bundle,99.74,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
Tecware Torque RGB,32.72,Optical,Wired,5000.0,Right,Black,Mid-Range Gaming,32.33
Zowie EC1-B,50.01,Optical,Wired,3200.0,Right,Black / Red,Mid-Range Gaming,29.33
Razer Deathadder Elite Destiny 2 Edition,105.96,Optical,Wired,16000.0,Right,Black / White,Mid-Range Gaming,50.67
Mad Catz The Authentic R.A.T 6+,64.98,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Adesso iMouse M6,11.88,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
ADATA XPG INFAREX M20,39.99,Optical,Wired,5000.0,Right,Black,Mid-Range Gaming,32.33
Microsoft Precision,92.14,Optical,Bluetooth Wireless,3200.0,Right,Black / Silver,Portable,45.33
Rosewill NEON M61,64.47,Optical,Wireless,10000.0,Right,Black / Blue,Portable,56.67
Trust GXT 148 Orna,45.44,Optical,Wired,3200.0,Both,Black / Red,Mid-Range Gaming,29.33
Evoluent VMDS,99.95,Optical,Wired,3200.0,Right,Black / Silver,Mid-Range Gaming,29.33
Evoluent VMDL,99.95,Laser,Wired,3200.0,Right,Black / Silver,Mid-Range Gaming,29.33
Thermaltake Tt eSPORTS Iris Optical RGB HATSUNE MIKU Edition,32.72,Optical,Wired,5000.0,Right,Black,Mid-Range Gaming,32.33
Tempest MS-200 Ninja,19.58,Optical,Wired,2400.0,Right,Black,Office/Budget,28.0
Logitech Graphite Signature M550,39.3,Optical,Bluetooth Wireless,4000.0,Both,Gray,Portable,46.67
ninjutso Katana Superlight,101.27,Optical,"Wired, Wireless",19000.0,Right,Black / White,Mid-Range Gaming,71.67
Logitech ‎MX Master 3 for Mac,70.86,Optical,"Wireless, Bluetooth Wireless",4000.0,Right,Black / Gray,Portable,46.67
Logitech M320,24.99,Optical,Wireless,1000.0,Right,Silver,Office/Budget,41.67
Microsoft Surface Precision,49.79,Optical,Bluetooth Wireless,3200.0,Right,Gray,Portable,45.33
Logitech Pebble M350,23.7,Optical,Bluetooth Wireless,1000.0,Both,Pink,Office/Budget,41.67
3M EM550GPL,96.99,Optical,Wireless,3200.0,Right,Black,Portable,45.33
Logitech Rechargeable Trackpad for Mac,34.17,Touchpad,Bluetooth Wireless,3200.0,Both,Silver,Portable,45.33
Thermaltake SAPHIRA Team DK Edition,19.98,Optical,Wired,3500.0,Right,White / Red,Office/Budget,29.83
Acco Kensington K72392US,36.98,Optical,Wireless,1000.0,Both,Black,Portable,41.67
Microsoft Mobile Mouse 6000,299.99,Laser,Wireless,3200.0,None,Purple,Portable,45.33
Microsoft D5D-00008,100.14,Optical,Wireless,3200.0,Both,White,Portable,45.33
Kensington Orbit,38.99,Trackball,Wired,3200.0,Both,Black,Mid-Range Gaming,29.33
Microsoft L2 Wireless Mouse 5000,89.99,Optical,Wireless,3200.0,Both,Black,Portable,45.33
Adesso IMOUSE S30,25.63,Optical,Wireless,1000.0,Both,Black,Office/Budget,41.67
Verbatim Wireless Multi-Trac Blue LED Optical Mouse,14.95,Optical,Wireless,3200.0,Right,Black,Office/Budget,45.33
Wintec FileMate Imagine M2810,15.99,Optical,Wired,1000.0,Right,Black / White,Office/Budget,25.67
Mionix AVIOR 8200,59.99,Laser,Wired,8200.0,Both,Black / Green,Mid-Range Gaming,37.67
Rosewill RGM-300,35.03,Optical,Wired,1000.0,Right,Black,Mid-Range Gaming,25.67
Logitech Optical USB Mouse,13.98,Optical,Wired,800.0,Both,Black,Office/Budget,25.33
Logitech Wireless Mouse,23.98,Laser,Wireless,3200.0,Both,Black / Silver,Office/Budget,45.33
Microsoft U7Z-00055,12.99,Optical,Wireless,1000.0,Both,Blue,Office/Budget,41.67
Mionix Castor,69.99,Optical,Wired,10000.0,Right,Black,Mid-Range Gaming,40.67
Logitech M325c Triple Scoop Ice Cream Cone,15.9,Optical,Wireless,1000.0,Both,Red / White,Office/Budget,41.67
Adesso iMouse S80R,15.06,Optical,Wireless,1600.0,Right,Red / Black,Office/Budget,42.67
Trust GXT 117 Strike,15.78,Optical,Wireless,1400.0,Both,Black,Office/Budget,42.33
Verbatim 98113 Go Mini Travel Commuter,8.97,Optical,Wired,3200.0,Both,Purple,Office/Budget,29.33
Targus W571,17.98,Optical,Bluetooth Wireless,1600.0,Both,Black,Office/Budget,42.67
Verbatim 70239,17.98,Optical,Bluetooth Wireless,1600.0,Both,Blue / Black,Office/Budget,42.67
Evoluent VMDLW,114.95,Laser,Wireless,3200.0,Right,Black / Silver,Portable,45.33
Apple MB112LL/B,23.88,Optical,Wired,3200.0,None,White,Office/Budget,29.33
Razer Orochi,52.42,Laser,Bluetooth Wireless,4000.0,Both,Black,Portable,46.67
Logitech G700,91.11,Laser,Wireless,5700.0,Right,Black,Portable,49.5
Razer Mamba 2012 Elite,144.9,Laser,Wireless,6400.0,Right,Black,Portable,50.67
Thermaltake MO-BLE001DT,75.06,Laser,Wired,6500.0,Both,Black,Mid-Range Gaming,34.83
Logitech LS1,69.95,Laser,Wired,3200.0,Both,Black,Mid-Range Gaming,29.33
Razer Lachesis,78.62,Laser,Wired,5600.0,Right,Black,Mid-Range Gaming,33.33
Logitech Performance,61.87,Laser,Wireless,3200.0,Right,Black,Portable,45.33
HP GW405AT,18.98,Laser,Wired,3200.0,None,Black,Office/Budget,29.33
V7 M30P10-7N,7.95,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Microsoft 3000,13.45,Optical,Wired,3200.0,Both,Silver / Blue,Office/Budget,29.33
Asus Eee PC Seashell,38.69,Optical,Wired,3200.0,Both,White,Mid-Range Gaming,29.33
